color,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,target,aspect_ratio,movie_facebook_likes,Director_ID,actor1_id,actor2_id,actor3_id,genres_number,plot_keywords_number,ID,Adventure,Fantasy,Sci-Fi,Thriller,Documentary,Romance,Animation,Comedy,Family,Musical,Mystery,Western,Drama,History,Sport,Crime,Horror,War,Biography,Music,Game-Show,Reality-TV,News,Short,Film-Noir
1,602,148,0,161,11000,200074175,275868,11700,1,994,46,7,18,245000000,2015,393,6.8,2.4,85000,1259,232,3,4131,3,5,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,139,107,131,639,131,0,8,143,0,272,47,42,13,39747870,2002,12,7.1,0.0,0,1281,3035,5,218,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,375,153,282,10000,25000,301956980,321795,58753,3,973,46,7,16,250000000,2009,11000,7.5,2.4,10000,1682,30,10,222,4,5,10,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,403,106,395,393,451,168368427,330784,2023,1,1243,46,7,18,200000000,2008,412,6.7,2.4,0,2342,1812,13,3,2,5,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,422,164,0,773,5000,255108370,354228,9152,0,802,46,14,18,250000000,2014,972,7.5,2.4,65000,1713,3040,19,502,2,5,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,446,201,0,84,6000,218051260,316018,7123,0,2618,46,14,18,207000000,2005,919,7.2,2.4,0,1713,699,23,4134,4,5,26,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,750,143,0,393,883,304360277,522030,2039,0,1498,46,7,18,200000000,2012,563,7.8,2.4,80000,1259,653,28,3,3,5,31,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,334,104,420,560,20000,234360014,383427,21714,0,1912,46,8,18,210000000,2006,808,6.8,2.4,0,2351,306,31,4136,5,5,35,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,490,143,1000,77,29000,144812796,362912,29770,4,753,46,12,18,105000000,2013,509,7.3,2.4,115000,1581,1800,45,2915,2,5,51,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,370,106,4000,591,19000,362645141,106072,32921,0,398,46,7,16,175000000,2016,13000,7.8,1.9,65000,2387,25,71,1929,4,5,80,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,10,109,596,283,622,0,2138,1982,3,15,46,25,17,39747870,2015,525,4.5,0.0,677,2016,3049,74,2140,4,5,85,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,120,28,12,544,0,374,699,0,13,44,6,13,39747870,2016,106,8.2,2.4,0,502,3050,88,4153,5,4,99,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1,248,206,0,591,12000,34293771,138863,24598,3,1390,46,3,17,155000000,2004,11000,5.5,2.4,0,2341,130,99,1497,7,5,114,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
1,329,138,282,687,21000,292000866,355137,33433,3,1108,46,7,18,150000000,2007,11000,7.5,2.4,0,1682,3053,10,166,4,5,115,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,295,157,179,10000,21000,289994397,385670,53413,1,1896,46,7,18,150000000,2005,11000,7.6,2.4,0,1037,3053,10,222,4,5,116,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
